STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
US1MIWS0042,42.2781,-83.8188,278.6,2017,,,143,84,,,,,,,,,,,1.71,,,,,,,,,,,,,,37.32,,,,
USC00200220,42.2875,-83.7611,263.7,2009,,,,,64,15,,,,,,,10,5.4,,,,,,,,,,,,,,,,40,,,
USC00200220,42.2875,-83.7611,263.7,2010,,,127,72,77,10,1,136,,,,0,11,7.8,2.6,,31,25,24,18,10,32,27,23,20,14,,,33.04,34.7,,,40.3
USC00200220,42.2875,-83.7611,263.7,2011,803,803,149,95,71,20,2,141,45,126,19,-2,12,8,2.95,98,28,28,20,20,11,32,27,20,20,16,,,44.58,51.5,49.4,58.9,39.9
USC00200220,42.2875,-83.7611,263.7,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,5525,5525,,,,,
USC00200230,42.29806,-83.66388,247.8,1892,563,563,,,,,8,153,61,113,10,-15,,,,94,32,28,20,20,14,32,28,24,11,11,,,,,46.2,54.9,37.6
USC00200230,42.29806,-83.66388,247.8,1893,509,509,,,,,13,145,68,119,3,-11,,,,92,30,26,19,19,15,32,28,23,19,14,7404,7404,,,45.3,54.3,36.3
USC00200230,42.29806,-83.66388,247.8,1894,687,687,,,,,5,128,43,128,17,-9,,,,97,31,28,17,17,15,31,25,22,20,13,6457,6457,,,48.5,57.5,39.4
USC00200230,42.29806,-83.66388,247.8,1895,796,796,,,,,15,150,68,136,22,-10,,,,94,29,19,19,19,13,32,25,23,16,16,7286,7286,,,46.5,56.7,36.4
USC00200230,42.29806,-83.66388,247.8,1896,614,614,,,,,7,143,56,135,4,-7,,,,93,32,27,23,20,16,25,25,21,18,16,6369,6369,,,47.9,56.6,39.2
USC00200230,42.29806,-83.66388,247.8,1897,666,666,117,82,,,7,140,55,136,22,-16,,,1.55,102,29,28,24,17,15,29,24,24,16,16,7245,7245,32.66,,47.5,58,37
USC00200230,42.29806,-83.66388,247.8,1898,835,835,120,76,,,3,135,47,144,30,-6,,,2.22,100,31,26,20,20,15,24,24,24,15,15,6252,6252,32.9,,48.9,59.2,38.5
USC00200230,42.29806,-83.66388,247.8,1899,762,762,103,59,,,16,138,56,155,31,-16,,,1.39,99,31,27,21,18,12,31,27,22,15,15,6664,6664,26.86,,48.2,58.7,37.8
USC00200230,42.29806,-83.66388,247.8,1900,862,862,114,67,,,18,149,51,164,26,-7,,,2.1,98,26,26,24,18,15,29,28,22,19,11,6785,6785,28.58,,48.8,59.3,38.2
USC00200230,42.29806,-83.66388,247.8,1901,848,848,120,55,,,14,159,62,139,32,-11,,,1.8,97,30,26,21,19,12,32,28,24,19,13,6734,6734,25.87,,47.2,57.5,36.9
USC00200230,42.29806,-83.66388,247.8,1902,472,472,132,82,,,9,133,59,126,2,-7,,,2.45,91,31,27,21,18,14,31,23,23,12,12,6900,6900,40.04,,47.7,57.6,37.7
USC00200230,42.29806,-83.66388,247.8,1903,430,430,144,81,,,9,146,60,130,5,-10,,,1.59,92,29,23,23,17,13,28,28,18,18,12,6454,6454,36.89,,46.9,56.8,37
USC00200230,42.29806,-83.66388,247.8,1904,466,466,134,61,,,21,157,83,129,5,-12,,,1.04,97,31,26,23,20,12,32,25,18,18,15,7764,7764,27.55,,45,54.8,35.2
USC00200230,42.29806,-83.66388,247.8,1905,594,594,127,65,,,14,157,60,143,8,-10,,,2.3,93,30,28,21,18,14,26,26,24,11,11,7146,7146,36.61,,47.3,57,37.6
USC00200230,42.29806,-83.66388,247.8,1906,781,781,123,76,,7,5,141,51,146,18,-4,,4.2,1.56,95,29,24,24,19,16,29,28,24,15,15,6543,6543,31.57,19.4,49.1,58.7,39.5
USC00200230,42.29806,-83.66388,247.8,1907,458,458,122,78,,,8,168,54,103,1,-9,,,1.74,91,32,28,20,20,14,32,27,21,16,16,7244,7244,31.41,,45.3,54.2,36.4
USC00200230,42.29806,-83.66388,247.8,1908,656,656,91,63,,,6,149,55,149,18,-8,,,1.86,97,31,27,21,20,13,30,27,21,16,16,6939,6939,31.04,,48.2,58.1,38.3
USC00200230,42.29806,-83.66388,247.8,1909,482,482,111,58,,,5,154,47,124,6,-8,,,2.12,95,30,26,22,18,2,30,27,24,18,12,6664,6664,28.13,,47.2,56.7,37.7
USC00200230,42.29806,-83.66388,247.8,1910,604,604,125,70,,,4,144,62,131,11,-2,,,1.51,96,31,24,24,10,10,30,27,22,15,15,6848,6848,25.92,,47.6,57.1,38
USC00200230,42.29806,-83.66388,247.8,1911,799,799,128,72,,,1,153,39,134,25,-1,,,1.84,101,30,27,22,18,11,31,27,22,18,11,6809,6809,29.17,,48.9,58.1,39.7
USC00200230,42.29806,-83.66388,247.8,1912,574,574,122,71,,,19,148,74,129,7,-21,,,1.03,92,31,25,24,20,14,32,28,22,12,12,7501,7501,29.11,,45.8,55.1,36.6
USC00200230,42.29806,-83.66388,247.8,1913,715,715,104,59,,,3,129,44,136,25,-3,,,1.81,99,29,22,22,19,15,32,25,11,11,11,6490,6490,26.6,,49.1,59,39.2
USC00200230,42.29806,-83.66388,247.8,1914,685,685,109,63,,,18,146,63,135,16,-11,,,1.82,95,31,28,24,19,14,32,28,23,17,16,6718,6718,32.88,,47.3,56.8,37.8
USC00200230,42.29806,-83.66388,247.8,1915,366,366,126,61,,,5,141,58,115,1,-11,,,1.48,90,28,28,23,20,16,30,28,21,12,12,6953,6953,28.2,,47,55.7,38.2
USC00200230,42.29806,-83.66388,247.8,1916,696,696,153,80,,,7,143,70,126,18,-9,,,1.33,98,32,27,11,11,11,32,26,14,14,14,7012,7012,36.55,,47.3,56.4,38.1
USC00200230,42.29806,-83.66388,247.8,1917,358,358,112,70,,,17,154,64,103,5,-16,,,2.93,99,31,28,24,20,12,32,24,24,13,13,7366,7366,42.06,,44.2,53.1,35.3
USC00200230,42.29806,-83.66388,247.8,1918,649,649,119,74,,,15,136,48,135,18,-19,,,2.32,104,32,28,24,14,14,32,27,23,14,14,7555,7555,36.74,,47.6,57.6,37.6
USC00200230,42.29806,-83.66388,247.8,1919,762,762,126,73,,,4,140,50,139,14,-1,,,2.29,95,32,28,24,20,10,31,27,18,18,12,6407,6407,35.38,,48.9,58.5,39.2
USC00200230,42.29806,-83.66388,247.8,1920,451,451,114,74,,,12,143,71,137,3,-9,,,2.15,93,32,23,23,16,16,31,28,21,19,16,7385,7385,34.28,,46.8,56.3,37.4
USC00200230,42.29806,-83.66388,247.8,1921,828,828,127,76,,12,0,139,38,145,9,5,,6.9,1.9,100,31,28,20,20,13,31,22,22,15,15,5867,5867,33.05,38.7,50.7,60,41.4
USC00200230,42.29806,-83.66388,247.8,1922,659,659,125,65,,9,5,142,52,142,9,-9,,6.6,1.53,93,28,28,24,20,15,32,27,18,18,15,6422,6422,26.17,25.6,49.1,58.5,39.7
USC00200230,42.29806,-83.66388,247.8,1923,546,546,128,74,,26,3,149,44,129,6,-3,,5.5,1.85,94,31,28,24,19,,32,28,22,9,9,6942,6942,31.74,82.8,47.4,56.8,38
USC00200230,42.29806,-83.66388,247.8,1924,372,372,127,69,,,11,143,66,113,4,-11,,,1.45,94,32,26,23,16,16,31,27,20,20,16,7020,7020,26.56,,45.9,54.9,36.9
USC00200230,42.29806,-83.66388,247.8,1925,694,694,129,70,,,4,150,51,130,12,-11,,,1.32,95,27,27,22,17,15,32,25,24,15,15,6730,6730,32.76,,47.7,57.3,38.2
USC00200230,42.29806,-83.66388,247.8,1926,497,497,145,77,,,3,162,67,122,6,-6,,,2.09,97,32,28,23,17,16,28,28,23,20,16,7519,7519,33.67,,46,54.7,37.3
USC00200230,42.29806,-83.66388,247.8,1927,430,430,129,73,,,4,127,43,123,7,-9,,,1.4,92,32,24,24,16,16,32,26,22,18,15,6754,6754,33.39,,48.8,57.7,40
USC00200230,42.29806,-83.66388,247.8,1928,498,498,119,63,,,3,138,36,119,1,-4,,,1.73,91,27,27,22,19,15,30,26,23,19,12,6592,6592,26.61,,48,56.6,39.4
USC00200230,42.29806,-83.66388,247.8,1929,,,137,77,,,6,124,,,,-20,,,2.67,,32,24,24,20,12,24,24,24,11,11,,,31.94,,,,37.8
USC00200230,42.29806,-83.66388,247.8,1930,847,847,110,46,,,5,141,53,149,20,-9,,,1.76,101,30,28,22,18,8,32,28,20,20,15,6607,6607,22.02,,49.6,58.9,40.3
USC00200230,42.29806,-83.66388,247.8,1931,,,106,62,34,11,0,123,,,,6,9,15,1.54,,32,27,23,18,13,32,27,24,19,16,6310,6310,24.44,46.5,,,42.9
USC00200230,42.29806,-83.66388,247.8,1932,679,679,121,73,,6,1,135,36,138,9,-2,,3.5,2.33,97,32,28,16,16,16,32,25,24,19,10,,,35.76,22.6,49.3,58.3,40.2
USC00200230,42.29806,-83.66388,247.8,1933,,,105,58,30,7,6,137,32,134,28,-13,5,5,1.83,99,32,28,24,17,9,28,28,24,19,8,,,24.3,23.8,50.1,59.1,41
USC00200230,42.29806,-83.66388,247.8,1934,,,110,61,51,11,8,137,,,,-17,11,5.6,1.29,,32,28,22,8,8,31,28,24,19,14,,,18.96,35.3,,,39.8
USC00200230,42.29806,-83.66388,247.8,1935,679,679,142,63,,7,1,129,56,115,10,0,,3.7,1.8,95,30,28,23,19,3,31,21,21,20,13,6252,6252,25.87,22.4,48,56.4,39.6
USC00200230,42.29806,-83.66388,247.8,1936,875,875,116,60,63,10,16,144,56,139,27,-10,12,10,1.15,103,28,28,22,17,9,29,24,24,20,9,7139,7139,24.41,47.4,48.3,58,38.6
USC00200230,42.29806,-83.66388,247.8,1937,705,705,123,75,42,6,0,148,49,121,10,1,5,3.5,1.84,92,27,27,24,18,16,28,28,24,10,10,6410,6410,35.33,17.7,48.4,57.1,39.8
